Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
20.6.2006;2341,78;2308,67;2334.04;;;781176904
19.6.2006;2346,63;2312,21;2333.15;;;1096128935
16.6.2006;2380,98;2305,08;2306.15;;;1313256257
15.6.2006;2329,4;2261,14;2326.08;;;981691649
14.6.2006;2269,04;2229,23;2258.63;;;1042937151
13.6.2006;2314,75;2220,92;2243.21;;;1227476001
12.6.2006;2361,13;2313,87;2319.02;;;815557518
9.6.2006;2384,9;2324,76;2355.1;;;959738298
8.6.2006;2390,42;2317,61;2318.29;;;1593454831
7.6.2006;2421,04;2387,71;2395.72;;;1098866381
6.6.2006;2474,39;2383,52;2391.36;;;1255853064
5.6.2006;2501,05;2474,61;2479.97;;;644211266
2.6.2006;2531,09;2489,85;2494.56;;;1162589855
1.6.2006;2487,73;2448,27;2485.59;;;931752504
31.5.2006;2473,74;2386,87;2460.48;;;1078286929
30.5.2006;2502,48;2436,18;2437.39;;;797614622
29.5.2006;2514,46;2488,02;2492.52;;;348801741
26.5.2006;2492,71;2413,55;2492.71;;;1037856395
24.5.2006;2455,73;2387,87;2409.14;;;1096526776
23.5.2006;2436,04;2332,39;2425.29;;;1563797845
22.5.2006;2434,15;2323,12;2329.89;;;1239651347
19.5.2006;2468,24;2426,4;2434.15;;;1137060320
18.5.2006;2493,92;2415,1;2442.45;;;1684937195
17.5.2006;2597,49;2486,68;2493.18;;;1825045941
16.5.2006;2583,84;2551,22;2574.37;0;;1293565524
15.5.2006;2604,76;2535,9;2571.8;0;;1475248035
12.5.2006;2683,97;2605,77;2605.94;0;;1457785058
11.5.2006;2721,09;2687,35;2687.35;;;1193444584
10.5.2006;2741,42;2709,17;2712.22;;;853499534
9.5.2006;2740,48;2720,49;2732.74;;;839261742
8.5.2006;2743,31;2718,72;2722.43;;;798594545
5.5.2006;2725,88;2710,64;2725.82;;;791522933
4.5.2006;2711,54;2679,02;2710.93;;;804548669
3.5.2006;2710,19;2677,64;2679.05;;;1074519558
2.5.2006;2698,13;2670,82;2696.15;;;884735973
28.4.2006;2700,45;2659,73;2668.35;;;1114345281
27.4.2006;2751,95;2686,46;2701.58;;;1324720085
26.4.2006;2762,52;2735,35;2751.41;;;1383768413
25.4.2006;2818,91;2753,63;2759.6;;;1483734432
24.4.2006;2795,05;2780,4;2787.76;;;1018504164
21.4.2006;2794,92;2763,57;2788.31;;;2038917669
20.4.2006;2774,36;2719,86;2761.8;;;3074848783
19.4.2006;2719,28;2681,59;2718.97;;;1115146450
18.4.2006;2686,35;2671,23;2678.37;;;994774912
13.4.2006;2684,48;2668,92;2682.97;;;672813344
12.4.2006;2690,24;2665,7;2673.08;;;1276325370
11.4.2006;2710,66;2688,85;2688.85;;;2233926546
10.4.2006;2702,78;2691,91;2698.86;;;592375774
7.4.2006;2723,66;2700,71;2703.54;;;766838444
6.4.2006;2724,49;2709,71;2716;;;940197189
5.4.2006;2720,45;2707,3;2716.6;;;1040651495
4.4.2006;2729,58;2707,41;2708.04;;;936516937
3.4.2006;2730,15;2713,06;2728.52;;;877449857
31.3.2006;2729,06;2704,17;2711.62;;;913039167
30.3.2006;2736,78;2691,2;2733.3;;;1940266813
29.3.2006;2690,95;2650,64;2689.27;;;865486503
28.3.2006;2698,29;2655,2;2661.76;;;1021666715
27.3.2006;2713,06;2697,57;2698.13;;;761763849
24.3.2006;2706,19;2687,91;2703.01;;;946941926
23.3.2006;2712,37;2686,95;2688.74;;;1135225307
22.3.2006;2738;2710;2711.14;;;993067080
21.3.2006;2743,56;2723,65;2741.38;;;1104931699
20.3.2006;2733,68;2718,22;2733.65;;;914054532
17.3.2006;2733,96;2705,04;2718.22;;;
16.3.2006;2708,26;2692,2;2707.1;;;
15.3.2006;2709,15;2688,6;2692.04;;;
14.3.2006;2696,72;2667,8;2696.41;;;
13.3.2006;2681,2;2667,58;2669.22;;;
